Source,Target,Weight
92703,119194942,1
2641161,195065263,1
2641161,434402784,1
7641592,498778613,1
9223852,295100531,1
10595802,223181175,1
10637592,63765675,1
11303212,21361705,1
11417402,79124132,1
12079182,63765675,1
12168912,2929271,1
13514912,498778613,1
14371559,3870010583,1
14758529,263906729,3
14764527,63765675,1
14764527,237839609,1
14764527,263906729,1
14772464,2435227451,2
14781971,79124132,1
14921319,1221702677073223681,1
15191825,161021621,1
15264641,426914950,1
15373476,196124212,1
15564303,249247178,1
15687122,220477794,1
15812236,16883794,1
15899435,119194942,1
15938350,263906729,1
15955822,847169983,1
17343655,2929271,1
17674246,1055125529744101381,1
17786425,2929271,1
17951360,220736409,1
17980605,263906729,1
18426258,472031699,1
18426258,2435227451,1
18869081,263906729,1
18882085,22950900,1
18882085,298217417,1
19000087,2435227451,1
19336268,1039872500807753728,1
19373236,79124132,2
20509756,121544131,1
20509756,4127527641,1
20778364,16883794,1
20918375,130383923,1
20918375,1055125529744101381,2
20918375,1083044271014465537,1
20918375,1252243937080815620,2
20994524,195065263,1
21008173,472031699,1
21055837,1055125529744101381,1
21500331,968825124903358464,1
22903015,242725020,1
22950900,38900042,1
23258922,472031699,1
23258922,1055125529744101381,1
25085927,79124132,1
25682292,79124132,1
25999871,237839609,1
27479731,79124132,1
27661128,634437625,1
28206117,595318250,1
28397673,196124212,1
28455868,35212055,1
28578678,472031699,1
28578678,1083044271014465537,1
28620835,968825124903358464,1
28620835,1252243937080815620,1
28795671,1284437933920067584,1
28937804,963135228,1
29313182,2929271,1
29339427,2435227451,1
29356229,79124132,1
29477849,1055125529744101381,1
29726545,73341746,1
29936987,1055125529744101381,1
29936987,1252243937080815620,1
30359308,263906729,1
30824645,829411700,1
30958336,237839609,1
31297596,81571983,2
31297596,1253387334470565888,1
32307901,79124132,2
32453427,22950900,1
32453427,38900042,1
32965067,373450689,1
33173981,59724813,1
33658416,135642125,1
34439297,2435227451,1
36116466,842406020374790144,1
36406830,38900042,1
36955862,1083044271014465537,1
38651046,373836761,1
38651046,963135228,1
38651046,1118521720019746817,1
38683512,1055125529744101381,1
38900042,38900042,3
40739850,263906729,1
40973876,472031699,2
41334341,2155543177,1
41738056,79124132,2
43413862,117029929,1
43692979,79124132,1
43699088,472031699,1
44083522,1229106862412517376,1
45034378,79124132,1
45540837,1083044271014465537,1
45599578,63765675,2
45640553,2435227451,1
45818188,264979205,1
46388482,161021621,1
47485395,3358760710,1
49005776,79124132,2
49247044,79124132,1
49275967,1055125529744101381,1
50271486,472031699,2
51024264,987919560,1
51159019,1055125529744101381,1
51278337,79124132,1
51798245,2435227451,1
52329749,2435227451,1
52981779,931575979,1
53133450,278620151,1
53964855,79124132,1
53975799,317963051,1
54175833,472031699,1
54175833,1055125529744101381,1
54572067,79124132,1
55269858,224741510,1
55676840,472031699,1
55749870,472031699,1
56865335,79124132,1
58167137,248213654,1
58445151,20526714,1
58454283,237839609,1
59621538,196124212,1
60141584,63765675,1
60746127,79124132,1
61206373,266659349,1
61249782,79124132,2
61329350,1083044271014465537,1
62238452,2843585524,1
62295413,938805471347204103,1
63307961,2155543177,1
63316301,79124132,7
63316301,1100144216309665793,2
63509479,2297962925,1
63690100,1252243937080815620,1
63698359,237839609,1
63766213,278600099,1
64018078,1206267637761744901,1
64133101,63765675,1
64922384,472031699,1
65510286,472031699,1
65660337,294048159,1
66340060,18882085,1
66420045,79124132,1
66544069,38900042,1
67098168,472031699,1
68035965,931575979,1
68239050,79124132,1
68476273,79124132,1
68823697,263906729,3
68844109,2435227451,1
68844109,1055125529744101381,1
69088007,2435227451,1
70220953,4127527641,1
70306213,1948528128,1
71166456,79124132,2
71451388,2929271,1
71574232,83427283,1
72827339,391512389,1
72893702,2435227451,1
72893702,1188275324229947393,1
72893702,1253387334470565888,3
73051304,1055125529744101381,1
73640017,237839609,1
73897935,282814299,1
73897935,292620974,1
73897935,865006489,1
74376053,2922065008,1
74568630,79124132,2
74568630,1100144216309665793,3
74739249,2155543177,1
74970146,291928027,1
74970146,4272969521,1
75088564,130383923,1
75088564,472031699,1
75088564,1083044271014465537,1
75088564,1252243937080815620,2
75190885,1253387334470565888,1
75518014,298217417,1
75855344,1060498864271228933,1
76427609,293155290,1
77957425,79124132,1
78971550,1206267637761744901,1
