user_id,statuses_count,followers_count,friends_count,listed_count,created_at,emoji_in_bio
2807061,5774,872,2469,62,2007-03-29 07:56:44,[]
2929271,149394,3947,2634,249,2007-03-30 03:09:15,[]
4144411,4706,1382,1641,97,2007-04-11 08:29:59,[]
6513132,52789,345,389,12,2007-06-01 23:44:30,[]
9409772,37736,349,431,39,2007-10-12 19:44:35,[]
11798532,116269,817,772,33,2008-01-03 14:20:57,[]
14159575,43177,8584,5272,771,2008-03-16 21:40:24,[]
14860046,11635,371,31,1,2008-05-21 18:37:15,[]
14937151,9358,632,872,219,2008-05-28 19:38:49,[]
15022080,96151,3700,3156,39,2008-06-05 19:14:00,[]
15115726,76815,27277,2317,1029,2008-06-14 09:53:58,[]
15915380,54025,3943,1531,50,2008-08-20 08:29:11,[]
16265631,9219,8067,3198,381,2008-09-12 23:41:11,[]
16864693,2537,123,195,3,2008-10-20 09:47:32,[]
16872273,1746,66,142,1,2008-10-20 18:57:24,[]
16883794,13753,22050,4564,465,2008-10-21 10:10:45,"['🇬', '🇧', '🇪', '🇸']"
17363730,110178,1081,661,68,2008-11-13 12:11:35,[]
17371085,34596,969,2124,33,2008-11-13 18:38:54,[]
17629793,25047,690,1419,26,2008-11-25 20:11:32,[]
17820695,17338,580,1169,11,2008-12-02 22:24:35,[]
17919801,4419,547,1348,3,2008-12-06 09:44:24,[]
17989551,15184,1699,2030,68,2008-12-09 11:40:11,[]
18082788,4716,533,32,21,2008-12-12 18:57:52,[]
18447733,98221,12453,5934,376,2008-12-29 11:03:27,[]
18483956,16909,3021,1034,150,2008-12-30 18:28:44,[]
18882085,66791,3694,4988,216,2009-01-11 22:27:00,[]
19113547,158421,7168,337,189,2009-01-17 15:47:36,[]
19365509,2919,1761,1233,73,2009-01-22 22:20:50,[]
20526714,22404,2646,474,71,2009-02-10 17:08:56,[]
21361705,41238,411765,98461,2789,2009-02-20 01:27:06,[]
22950900,4321,4931,1154,222,2009-03-05 17:52:08,[]
28717597,66165,4137,2056,39,2009-04-04 02:19:32,[]
30427641,2943,116,216,8,2009-04-11 09:51:40,[]
32965067,143931,5283,5808,46,2009-04-18 18:21:46,[]
33180244,56934,15587,577,0,2009-04-19 11:23:31,[]
35212055,3944,47239,125,0,2009-04-25 13:37:27,[]
37226226,55499,2514,678,116,2009-05-02 16:17:01,[]
38488888,63007,579,423,0,2009-05-07 18:41:44,[]
38900042,20943,19208,1116,428,2009-05-09 18:21:50,[]
39604163,5793,1113,410,18,2009-05-12 21:43:31,[]
