Source,Target,Weight
1048823190653423616,951547628503879685,3
1048823190653423616,1104670185821270016,1
1048823190653423616,1101162819389661184,1
1048823190653423616,1086307033,1
1048823190653423616,1034338598974377984,1
1048823190653423616,1003916090634891264,1
1048823190653423616,216755042,1
1048823190653423616,2246041000,5
1048823190653423616,224750159,1
1048823190653423616,2283421083,1
1048823190653423616,2291657660,1
1048823190653423616,2347132934,10
1048823190653423616,994900276338360320,1
1048823190653423616,982904393304625152,1
1048823190653423616,1104825515544928257,1
1048823190653423616,977911888532180992,1
1048823190653423616,961554068341755904,1
1048823190653423616,2251687412,2
1048823190653423616,237022319,1
1048823190653423616,1138038411674169345,1
1048823190653423616,118692114,1
1048823190653423616,1530469526,1
1048823190653423616,154805351,1
1048823190653423616,1566732146,1
1048823190653423616,1569861361,1
1048823190653423616,15823701,1
1048823190653423616,1615986402,3
1048823190653423616,149837041,1
1048823190653423616,1623272011,1
1048823190653423616,175914955,1
1048823190653423616,177862974,3
1048823190653423616,179690487,1
1048823190653423616,18806995,1
1048823190653423616,19027470,2
1048823190653423616,1955111635,1
1048823190653423616,1706920920,1
1048823190653423616,1477847401,1
1048823190653423616,14525982,2
1048823190653423616,1449641827,1
1048823190653423616,1200164656071028736,1
1048823190653423616,1226145853481668608,1
1048823190653423616,1248927265167159298,1
1048823190653423616,125286852,1
1048823190653423616,1254510944648073222,2
1048823190653423616,1283102322059546624,1
1048823190653423616,130794158,1
1048823190653423616,195764080,1
1048823190653423616,1330087730,1
1048823190653423616,1361905866,1
1048823190653423616,1365566430,1
1048823190653423616,136570758,1
1048823190653423616,1370785902,1
1048823190653423616,1387968122,2
1048823190653423616,142224017,1
1048823190653423616,1150925060,1
1048823190653423616,130907738,1
1048823190653423616,238599601,1
1048823190653423616,2438617780,2
1048823190653423616,49991327,1
1048823190653423616,493594003,2
1048823190653423616,481513272,2
1048823190653423616,458692566,1
1048823190653423616,458305914,6
1048823190653423616,4526921,1
1048823190653423616,45244838,2
1048823190653423616,44354386,1
