"user_id","screen_name","user_bio"
"1257975756229152768","idoia_eraso","Herriak, zientziak eta kulturak
Kazetaria"
"301645475","txeramirez","Txema Ramirez de la Piscina UPV/EHU unibertsitateko ikertzailea, kazetaria eta idazlea. Investigador de la UPV/EHU, escritor y periodista."
"1280577963528986633","Libertarioak","Libertarios Vascos

#EuskalLibertarioak"
"138654918","heliosaek","AEKren Zuzendaritzako kidea, komunikazioan. Duela 25 urte, AEK ezagutu nuen. Beraz, 19+25 urte ditut.

https://t.co/rs9HpS6Vle"
"815703656880369664","JediTxikia","Basque Rebellion against the Spanish Empire
Umore ona, zirrara, abenturak barra-barra! 
Erizaina, Osakidetza publiko, profesional ta euskaldun baten alde"
"585191897","skyrunner75","Protestar es sumisión.

Se consciente y desobedece!"
"753540163125538816","ataunirratia","Ataun irratian modako musika , elkarrizketak, tendentziak, albisteak... eskuragarri jartzen dizkizugu. Zure gustoko saio guztiak, irrati batean!"
"384532515","inagurru","Baratzerik onena ez ditaike lora"
"122020993","eitbAlbisteak","@eitbeus-eko albisteak. @eitb taldea. Azken ordukoak eta albisteak. Euskal Herriko eta munduko informazioa euskaraz. 
Telelegram: https://t.co/6XdGjmfKzl"
"1966682750","FEtxegoien","Pirineista ohia"
"1425648666","Iparralde_orena","Astelehenetik ostiralera 15:00 ETB1
Igandetan Astekaria 8:30 ETB1
@EgunOnEuskadi /Gaur Egun/Teleberri, 
@eguraldia 
@ahoz_aho 
@eitbAlbisteak @eitbNoticias"
"1107612071351500801","Gasteiztar1","Gasteiztarra, abertzalea eta euskalduna.
Gure hizkuntzaz maiteminduta nago."
"52135079","kazetaeus","Ipar Euskal Herriko informazioa, iritziak, bideoak, argazkiak... ematen dituen webgunearen kontua"
"507670680","Zurinetxeberria","*   Kazetaria  /  Periodista  / Journalist  *



Radio Vitoria | ETB | Euskadi Irratia 







































Goizetik gauera oinak lurrean"
"182346790","AlfonsoTejedor","Si a la Tecnología para una educación de calidad con futuro."
"1260153734337835008","ubayon001","The emancipation of the workers contains universal human emancipation."
"113581732","Aiurri","Beterri-Aiztondon hamaboskaria
Beterri-Buruntzan astekaria. 
Eskualdeko nortasun hitzak.
Tokikom."
"8631152","berria","Ongi etorri BERRIAren Twitterreko kontu ofizialera. Facebooken eta Instagramen, Berriaegunkaria izenarekin aurkituko gaituzu, eta Youtuben, BerriaTB izenarekin."
"2535917164","negukobaratza","Txikia zarela uste baduzu, gogoratu zaitez lorik egiten uzten ez dizun euliarekin...Zuen legea ez da gurea."
"2605981251","AnderGurusa","Eguzkiak urtzen du goian
gailurretako elurra
uharka da jausten ibarrera
geldigaitza den oldarra"
"150182068","eurekakutxa","Pº Mikeletegi 45

Lat.: 43º 17' 55'' (43,290191)
Long.: -1º 59' 05'' (1,984201)


+34 943 012 478 
https://t.co/OuV9Rme0nN"
"1721796816","UxuneM","Produkzio zientifikoa lanerako tresna. https://t.co/FXa4FKbszp aterpea. @Zientzia-ren egitasmoetan lanean. @IlustraCienti eta @CulturaCienti-kan irakasle."
"885165770","GueroPatxeko",""
"57350899","xletona","Kazetaria @argia-n . Basque journalist"
"952785962","dudulixaxu1","Guk bizpahiru hizkuntza edo gehiago izan ditzakegu, euskarak gu bakarrik gauzka"
"1413049219","ezetzpa","kearen atzean dagoenaren bila eta beste jolas batzuek"
"228655149","AEK_eus","#AEK eta #Korrika-ren twitter kontu OFIZIALA"
"2842648090","MKulungele","Kazetaria @ArabakoAlea // Gure eguna helduko da!"
"75071568","HaOdriozola","Neukan guztiz zen amets bat, amets bat. Beti egoten nintzen, haren bisitan zain, haren bisitan zain"
"1086509322719367168","bizipox","Jertsea Amparo Serrano ama zenak egin zidan 1982an. Oso ona zen alabak eta jertseak egiten, eta hobea izatez. 🍀🚴🍳📚💜"
"494840216","LeakoHitza","Lea-Artibai eta Mutrikuko HITZA. Gure horman agertzen diren iruzkinak egunkarian argitaratzeko aukera dugu."
"1860457292","AgerJauregi","1984(liburu bikaina)tik arazoetan sartzen. Mirari bat da oraindik bizirik jarraitzea. Nire arazo bakarra da arazo gehiagotan sartzea"
"1048823190653423616","NaparAitor","Herritik sortua, herrian urtua."
"53872038","anderZubi","Nik ""influencer"" izan nahi nuen, baina denok izatez jaiotzatik puta-seme batzuk besterik ez gara."
"471321676","joxejulian","Aita egunero, astean behin senar eta oso noizean behin ni neu"
"403574640","GITBinfo","📺 Goierrin gertatzen dena goierritarren eskura jarriz 2003tik 🎥"
