user_id,against_done,favor_done,none_done,against_receiv,favor_receiv,none_receiv
2807061,0,0,0,0,0,0
2929271,0,36,2,0,36,6
4144411,0,0,0,0,0,0
6513132,0,2,0,0,2,0
9409772,0,6,2,0,0,0
11798532,10,154,24,0,38,22
14159575,2,12,18,2,12,16
14860046,84,0,0,8,0,0
14937151,0,0,0,0,0,0
15022080,2,30,30,6,26,32
15115726,0,0,8,6,68,38
15915380,2,164,8,0,188,26
16265631,0,0,84,4,6,84
16864693,0,0,0,0,0,0
16872273,0,0,0,0,0,0
16883794,0,6,14,0,6,16
17363730,0,0,10,0,0,0
17371085,0,2,4,0,2,2
17629793,0,0,2,0,0,0
17820695,0,2,4,0,0,4
17919801,4,8,4,0,10,0
17989551,0,0,0,0,0,0
18082788,0,0,2,0,0,0
18447733,0,10,790,28,66,834
18483956,6,0,104,6,2,10
18882085,24,74,306,6,6,8
19113547,0,12,0,0,36,6
19365509,0,0,0,0,0,0
20526714,0,34,0,0,38,0
21361705,0,196,4,30,1142,156
22950900,0,12,122,2,18,24
28717597,0,20,8,0,14,0
30427641,0,0,0,0,0,0
32965067,22,64,0,4,20,22
33180244,0,48,28,0,46,34
35212055,0,2,8,8,188,174
37226226,0,0,0,0,0,0
38488888,0,6,14,0,0,14
38900042,0,92,550,0,418,658
39604163,0,0,0,0,0,0
39842001,0,0,18,4,16,24
40207877,44,2,0,42,0,0
40629476,4,46,16,6,40,14
41335841,0,16,0,0,20,0
42213713,0,0,0,0,0,0
42424530,0,324,4,0,326,0
42463356,0,0,2,0,0,2
44395206,2,8,12,0,0,8
44640535,0,0,0,0,2,0
44910987,0,0,0,0,0,0
45818188,0,70,212,2,26,64
46358249,0,0,0,0,0,0
46366986,0,2,48,0,0,46
48023856,0,0,0,0,0,0
48135797,0,0,0,0,0,0
48298430,0,4,0,0,4,0
49767631,2,0,0,0,0,0
49954027,0,4,0,8,46,0
53140494,0,4,2,0,2,0
53353990,0,0,6,0,0,4
54036470,0,2,0,0,0,0
54200609,0,4,216,0,0,0
54886012,0,2,14,0,0,0
55273629,0,20,16,0,0,0
59724813,0,0,0,0,0,0
60159471,0,0,4,0,0,0
60573195,0,2,0,0,10,0
61567059,2,34,64,0,20,62
62238452,2,36,44,0,106,26
62349151,14,44,30,2,4,0
63690054,0,0,0,0,0,0
63765675,12,110,28,6,170,58
64721604,0,0,20,0,24,24
64794485,0,124,42,2,128,132
66647957,0,4,0,0,20,0
69326657,0,1140,0,0,1150,22
70650905,2,2,0,0,0,0
71297565,0,8,38,0,34,22
73341746,2,20,6,2,62,60
73927838,0,0,0,0,0,0
75804609,0,2,0,0,4,0
76080332,0,0,33,0,0,33
76408592,0,0,0,0,0,0
76593802,2,216,1628,140,44,2396
