user_id,against_out,favor_out,none_out,against_in,favor_in,none_in
1048823190653423616,2,2,0,1,0,0
1078425340941344771,1,9,0,0,1,0
1084527738210406402,0,0,0,0,0,0
1086509322719367168,18,11,2,12,6,4
109309136,0,2,0,9,21,2
1094386993,11,9,3,9,7,7
1094941153,5,14,0,0,1,0
110661544,3,15,0,6,15,3
1107612071351500801,7,19,3,6,5,3
1112679917509066752,5,14,0,4,9,1
112782221,3,13,2,1,12,2
1129016786593226752,1,10,0,1,3,0
113581732,5,12,0,3,10,4
1137244088,1,3,0,0,1,0
1172278867979055104,4,9,1,4,3,1
1185244502,26,21,4,13,11,4
1194014989272657920,8,17,2,1,2,2
121700021,1,2,0,1,2,0
122020993,5,14,1,17,42,9
1241427315197988864,5,8,1,1,1,0
1245405110399905792,4,14,0,2,1,0
1257975756229152768,1,7,0,1,5,0
1259457633523830787,16,13,3,15,9,7
1268503059782684673,0,0,0,0,0,4
1280577963528986633,0,0,0,0,0,0
1282259607101100032,4,3,0,0,0,0
128278933,2,4,0,1,0,0
130794158,16,32,2,27,51,18
1328937696,9,19,4,6,5,3
13713512,2,2,1,2,10,3
1379068902,13,19,1,4,5,1
1413049219,16,16,12,6,4,9
1418405966,3,9,2,1,2,2
1425648666,7,21,0,6,11,3
145272503,5,13,0,4,5,4
1458199710,11,10,3,2,2,2
1514456504,4,6,1,3,2,2
15451808,14,22,4,3,2,1
163024954,0,4,0,2,1,1
1643863405,1,0,0,1,0,1
1721796816,12,14,0,10,13,2
182346790,2,2,0,0,0,0
1941694874,0,5,0,0,1,0
1949370745,2,7,5,1,0,4
1966682750,5,4,2,5,13,3
19770809,12,10,0,25,24,8
19842574,7,16,0,3,3,0
19853819,6,9,0,9,19,4
208086043,1,6,0,1,1,0
211131242,4,11,2,3,10,4
2150247720,0,0,0,28,31,8
2160727538,0,0,0,1,1,0
2218402195,7,5,1,5,2,1
2234660111,0,0,0,0,0,0
2289735375,10,17,1,6,8,2
2291476334,0,0,0,0,0,0
2299803774,1,10,0,6,13,2
2312306785,1,8,3,1,2,3
2348637385,2,7,0,3,3,0
238252172,8,21,2,16,26,8
2405309008,5,10,1,7,19,2
252588994,5,8,0,3,1,1
2535917164,15,15,10,14,7,11
2549981702,6,14,0,9,7,4
255002729,4,12,0,6,10,2
2557045290,6,12,4,3,1,2
257022910,2,10,0,6,16,0
2575566397,5,8,8,3,0,6
2603928862,9,10,2,4,3,1
266087835,5,6,0,2,1,0
275487283,3,10,0,0,4,0
277509450,11,21,0,26,45,12
278390597,7,6,0,7,12,2
2824464079,5,10,0,5,16,0
2825230149,0,6,0,0,1,0
2831727421,3,24,0,7,26,0
2842648090,7,20,0,5,8,1
2871534908,5,4,0,4,2,1
2904185421,6,6,2,9,8,5
2907847642,2,10,0,1,1,0
2941373355,4,2,0,7,5,0
299732400,3,14,0,1,7,2
300703744,18,19,4,7,2,2
301645475,11,19,2,6,17,2
3058459234,4,16,0,1,2,0
318372631,1,5,0,1,2,0
3247600917,3,7,1,3,13,4
33182657,0,6,0,9,15,2
3336176295,8,6,5,1,2,4
3340855450,0,4,1,0,1,1
334518662,1,10,0,4,8,0
3417272529,3,6,0,0,2,1
350377687,4,5,0,1,1,0
3511288937,2,5,0,3,1,0
362305215,0,2,2,0,0,3
374445155,17,14,8,16,13,8
3747863055,3,13,0,3,3,0
377303749,11,11,1,6,5,2
382077103,6,19,0,9,23,2
386493055,7,7,0,6,5,0
388476199,7,12,0,3,2,1
389612578,1,4,0,1,2,0
398640727,0,3,0,0,2,0
4033663816,0,3,1,0,0,1
418069098,1,2,0,2,0,0
434979087,3,9,0,12,30,3
4429123978,13,20,5,8,11,4
4526921,10,9,3,26,37,15
471321676,0,1,0,0,0,0
47294804,0,3,0,1,7,0
488387930,14,7,2,16,13,4
507670680,6,9,0,2,6,0
512195466,10,15,1,12,17,2
513472981,5,14,1,2,4,0
516685550,17,19,5,7,4,4
52135079,1,14,0,13,34,10
53872038,8,8,0,1,2,0
54519655,5,6,0,1,2,3
556123844,3,7,0,3,1,0
559834008,5,1,1,2,0,0
56963315,8,12,2,13,20,4
570641205,0,1,0,2,7,0
57350899,17,22,6,19,33,8
59436321,2,22,0,1,5,2
706191568835837952,3,7,0,3,3,0
718113668,3,6,0,5,17,5
73089796,2,4,0,8,27,2
75071568,3,4,0,1,2,0
753540163125538816,0,8,0,0,0,1
776153844,6,13,2,1,3,2
788887712,6,10,0,11,10,2
79021230,5,9,0,3,4,2
798136042884857856,6,10,0,1,0,0
80979176,5,11,0,3,7,3
815703656880369664,3,5,0,2,3,0
8631152,12,24,1,43,60,20
8704772,12,13,0,13,28,2
885165770,3,15,7,1,5,7
88936279,1,13,1,1,5,2
910604057286512640,20,18,4,13,8,3
918825469021212672,2,1,0,1,0,0
92632663,6,21,2,13,29,8
934099898,1,5,1,3,4,0
951601232,9,16,0,16,24,8
952785962,5,20,4,1,5,4
953373478937354245,0,0,0,0,0,0
97011553,11,23,0,13,24,7
975621206,10,8,0,1,2,0
97939627,10,7,2,8,8,4
